Sample Name,Treatment,Cell_type
GSM6765206,mock,colon organoids
GSM6765207,mock,colon organoids
GSM6765208,mock,colon organoids
GSM6765209,MPXV clade IIa infected,colon organoids
GSM6765210,MPXV clade IIa infected,colon organoids
GSM6765211,MPXV clade IIa infected,colon organoids
GSM6765212,MPXV clade IIb infected,colon organoids
GSM6765213,MPXV clade IIb infected,colon organoids
GSM6765214,MPXV clade IIb infected,colon organoids
GSM6765215,MPXV clade I infected,colon organoids
GSM6765225,MPXV clade I infected,colon organoids
GSM6765240,MPXV clade I infected,colon organoids
